year,taxa,model,forecast
2024,Stony_coral,RandomForest,0.053866370238095235
2024,Stony_coral,XGBoost,0.06595099717378616
2025,Stony_coral,RandomForest,0.03661908466716033
2025,Stony_coral,XGBoost,0.03135501593351364
2026,Stony_coral,RandomForest,0.06362884285714286
2026,Stony_coral,XGBoost,0.055561233311891556
2027,Stony_coral,RandomForest,0.06371837083333332
2027,Stony_coral,XGBoost,0.043440282344818115
2028,Stony_coral,RandomForest,0.06531842499999999
2028,Stony_coral,XGBoost,0.05597584694623947
2024,Macroalgae,RandomForest,0.1576064344155844
2024,Macroalgae,XGBoost,0.15453413128852844
2025,Macroalgae,RandomForest,0.17770319747474744
2025,Macroalgae,XGBoost,0.19268693029880524
2026,Macroalgae,RandomForest,0.15521468452380952
2026,Macroalgae,XGBoost,0.10799110680818558
2027,Macroalgae,RandomForest,0.16504523214285705
2027,Macroalgae,XGBoost,0.12132691591978073
2028,Macroalgae,RandomForest,0.242948276984127
2028,Macroalgae,XGBoost,0.26024794578552246
2024,Octocoral,RandomForest,0.15188134722222227
2024,Octocoral,XGBoost,0.14352872967720032
2025,Octocoral,RandomForest,0.16007282499999995
2025,Octocoral,XGBoost,0.15921704471111298
2026,Octocoral,RandomForest,0.1498969166666667
2026,Octocoral,XGBoost,0.1280050277709961
2027,Octocoral,RandomForest,0.1665510869047619
2027,Octocoral,XGBoost,0.21570837497711182
2028,Octocoral,RandomForest,0.1716204595238095
2028,Octocoral,XGBoost,0.1559009999036789
2024,Porifera,RandomForest,0.033460520906432735
2024,Porifera,XGBoost,0.05693408474326134
2025,Porifera,RandomForest,0.03114415735930737
2025,Porifera,XGBoost,0.06960620731115341
2026,Porifera,RandomForest,0.024497176190476196
2026,Porifera,XGBoost,0.023572226986289024
2027,Porifera,RandomForest,0.020665964285714288
2027,Porifera,XGBoost,0.03911945968866348
2028,Porifera,RandomForest,0.02462731785714285
2028,Porifera,XGBoost,0.026388458907604218
2024,Cyanobacteria,RandomForest,0.04975250277777775
2024,Cyanobacteria,XGBoost,0.008615661412477493
2025,Cyanobacteria,RandomForest,0.0702333409090909
2025,Cyanobacteria,XGBoost,0.08133822679519653
2026,Cyanobacteria,RandomForest,0.03450809444444446
2026,Cyanobacteria,XGBoost,0.016869213432073593
2027,Cyanobacteria,RandomForest,0.09955182954545456
2027,Cyanobacteria,XGBoost,0.02317037060856819
2028,Cyanobacteria,RandomForest,0.058599109090909096
2028,Cyanobacteria,XGBoost,0.03556619584560394
2024,Seagrass,RandomForest,0.0021101557397614342
2024,Seagrass,XGBoost,0.0019468003883957863
2025,Seagrass,RandomForest,2.3624999999999995e-05
2025,Seagrass,XGBoost,0.00031824957113713026
2026,Seagrass,RandomForest,0.003249125
2026,Seagrass,XGBoost,-0.00021829195611644536
2027,Seagrass,RandomForest,0.0016437499999999994
2027,Seagrass,XGBoost,0.0014535468071699142
2028,Seagrass,RandomForest,0.0006497083333333334
2028,Seagrass,XGBoost,0.0001369787350995466
2024,Zoanthidea,RandomForest,0.0035872761904761907
2024,Zoanthidea,XGBoost,-0.00037097916356287897
2025,Zoanthidea,RandomForest,0.01696248333333334
2025,Zoanthidea,XGBoost,0.00693536875769496
2026,Zoanthidea,RandomForest,0.008905077380952382
2026,Zoanthidea,XGBoost,0.0054970053024590015
2027,Zoanthidea,RandomForest,0.01238682619047619
2027,Zoanthidea,XGBoost,0.020237859338521957
2028,Zoanthidea,RandomForest,0.009552914285714292
2028,Zoanthidea,XGBoost,0.009126684628427029
2024,Urchins,RandomForest,1.0380331681365194e-05
2024,Urchins,XGBoost,1.1413690117478836e-05
2025,Urchins,RandomForest,1.0380331681365194e-05
2025,Urchins,XGBoost,1.1413690117478836e-05
2026,Urchins,RandomForest,1.0380331681365194e-05
2026,Urchins,XGBoost,1.1413690117478836e-05
2027,Urchins,RandomForest,1.0380331681365194e-05
2027,Urchins,XGBoost,1.1413690117478836e-05
2028,Urchins,RandomForest,1.0380331681365194e-05
2028,Urchins,XGBoost,1.1413690117478836e-05
2024,Others,RandomForest,0.0002670000000000001
2024,Others,XGBoost,0.0001570077583892271
2025,Others,RandomForest,0.0010356196428571427
2025,Others,XGBoost,0.002246423624455929
2026,Others,RandomForest,0.0008527642857142855
2026,Others,XGBoost,0.0011506545124575496
2027,Others,RandomForest,0.003772315873015872
2027,Others,XGBoost,0.0022088619880378246
2028,Others,RandomForest,0.0005411702380952381
2028,Others,XGBoost,0.00013146543642506003
